174: x: -1.23654, y: -0.153275, zNormal: 0.226689
175: x: -1.22926, y: -0.146659, zNormal: 0.185949
176: x: -1.20634, y: -0.143677, zNormal: 0.16546
177: x: -1.22002, y: -0.133518, zNormal: 0.0721479
178: x: -1.20301, y: -0.129226, zNormal: 0.0393589
179: x: -1.19314, y: -0.124284, zNormal: 0.0427405
180: x: -1.20936, y: -0.11054, zNormal: 0.0399116
181: x: -1.18709, y: -0.120899, zNormal: 0.0300724
182: x: -1.21017, y: -0.109006, zNormal: 0.0568452
183: x: -1.19131, y: -0.119087, zNormal: 0.0226425
184: x: -1.3412, y: -0.540647, zNormal: -0.988169
185: x: -1.33675, y: -0.547786, zNormal: -0.98817
186: x: -1.27404, y: -0.154913, zNormal: 0.40846
187: x: -1.28524, y: -0.186151, zNormal: 0.279744
188: x: -1.28029, y: -0.15929, zNormal: 0.357063
189: x: -1.28494, y: -0.137066, zNormal: 0.223278
190: x: -1.27647, y: -0.126551, zNormal: 0.180914
191: x: -1.2675, y: -0.122043, zNormal: 0.147014
192: x: -1.2819, y: -0.104674, zNormal: 0.147044
193: x: -1.24187, y: -0.124353, zNormal: 0.1132
194: x: -1.24999, y: -0.113284, zNormal: 0.130477
195: x: -1.2547, y: -0.117924, zNormal: 0.0498557
196: x: -1.24704, y: -0.106567, zNormal: 0.0498912
197: x: -1.24232, y: -0.104474, zNormal: 0.0757302
198: x: -1.23897, y: -0.106998, zNormal: 0.0758088
199: x: -1.25182, y: -0.0979124, zNormal: 0.0940465
200: x: -1.23119, y: -0.106503, zNormal: 0.0667289
201: x: -1.23404, y: -0.101519, zNormal: 0.0770153
202: x: -1.32314, y: -0.168596, zNormal: 0.340206
203: x: -1.325, y: -0.144099, zNormal: 0.302638
204: x: -1.33153, y: -0.116598, zNormal: 0.228882
205: x: -1.33863, y: -0.105445, zNormal: 0.203008
206: x: -1.29975, y: -0.114853, zNormal: 0.171532
207: x: -1.30044, y: -0.105389, zNormal: 0.176519
208: x: -1.29283, y: -0.104513, zNormal: 0.146699
209: x: -1.31608, y: -0.106259, zNormal: 0.0772806
210: x: -1.32354, y: -0.100558, zNormal: 0.0989511
211: x: -1.31215, y: -0.106084, zNormal: 0.0676844
212: x: -1.30251, y: -0.0903498, zNormal: 0.101562
213: x: -1.28917, y: -0.0904225, zNormal: 0.11649
214: x: -1.27184, y: -0.0912009, zNormal: 0.132111
215: x: -1.28397, y: -0.0884759, zNormal: 0.11983
216: x: -1.27719, y: -0.0849006, zNormal: 0.0799562
217: x: -1.38515, y: 0.414907, zNormal: -0.0675174
218: x: -1.37884, y: 0.458514, zNormal: -0.185917
219: x: -1.36447, y: 0.508341, zNormal: -0.313409
220: x: -1.35368, y: 0.554202, zNormal: -0.388769
221: x: -1.33976, y: 0.602064, zNormal: -0.562924
222: x: -1.32669, y: 0.651619, zNormal: -0.937156
223: x: -1.31628, y: 0.700484, zNormal: -0.938777
224: x: -1.30289, y: 0.743268, zNormal: -0.805889
225: x: -1.38832, y: -0.158064, zNormal: 0.422208
226: x: -1.38637, y: -0.12917, zNormal: 0.352529
227: x: -1.38039, y: -0.104886, zNormal: 0.297723
228: x: -1.38486, y: -0.0944893, zNormal: 0.254135
229: x: -1.38758, y: -0.0920652, zNormal: 0.205563
230: x: -1.35013, y: -0.100934, zNormal: 0.148871
231: x: -1.37087, y: -0.0878666, zNormal: 0.17788
232: x: -1.3451, y: -0.100437, zNormal: 0.122918
233: x: -1.35868, y: -0.0861852, zNormal: 0.120411
234: x: -1.3421, y: -0.0989201, zNormal: 0.0753912
235: x: -1.34961, y: -0.0767057, zNormal: 0.132688
236: x: -1.34563, y: -0.0721603, zNormal: 0.159178
237: x: -1.33087, y: -0.0774924, zNormal: 0.189178
238: x: -1.32254, y: -0.0751757, zNormal: 0.154955
239: x: -1.32211, y: -0.066453, zNormal: 0.160767
240: x: -1.46549, y: 0.176305, zNormal: 0.161682
241: x: -1.4578, y: 0.215551, zNormal: 0.141511
242: x: -1.4478, y: 0.260902, zNormal: 0.138908
243: x: -1.4346, y: 0.310552, zNormal: 0.124186
244: x: -1.4184, y: 0.358587, zNormal: 0.045174
245: x: -1.40902, y: 0.41218, zNormal: 0.00347513
246: x: -1.39362, y: 0.457408, zNormal: -0.10535
247: x: -1.37895, y: 0.512507, zNormal: -0.316225
248: x: -1.41056, y: 0.545492, zNormal: -0.360858
249: x: -1.40901, y: 0.416098, zNormal: 0.0971562
250: x: -1.39994, y: 0.447607, zNormal: 0.0296968
251: x: -1.441, y: 0.233546, zNormal: 0.171547
252: x: -1.43373, y: 0.262709, zNormal: 0.174538
253: x: -1.43157, y: 0.298652, zNormal: 0.172324
254: x: -1.40218, y: 0.419282, zNormal: 0.127805
255: x: -1.39606, y: 0.440471, zNormal: 0.127616
256: x: -1.44396, y: 0.183501, zNormal: 0.15094
257: x: -1.4364, y: 0.217147, zNormal: 0.16817
258: x: -1.42082, y: 0.265776, zNormal: 0.173244
259: x: -1.40266, y: 0.314496, zNormal: 0.167456
260: x: -1.39527, y: 0.364706, zNormal: 0.163682
261: x: -1.38142, y: 0.41375, zNormal: 0.145356
262: x: -1.37468, y: 0.443446, zNormal: 0.12608
263: x: -1.43807, y: 0.187458, zNormal: 0.160277
264: x: -1.43025, y: 0.221374, zNormal: 0.162134
265: x: -1.41625, y: 0.267753, zNormal: 0.165943
266: x: -1.39874, y: 0.314994, zNormal: 0.176303
267: x: -1.38939, y: 0.365617, zNormal: 0.188267
268: x: -1.37392, y: 0.415175, zNormal: 0.184144
269: x: -1.36326, y: 0.445023, zNormal: 0.177154
270: x: -1.42508, y: 0.227367, zNormal: 0.140533
271: x: -1.41145, y: 0.270014, zNormal: 0.142804
272: x: -1.39369, y: 0.316096, zNormal: 0.150681
273: x: -1.38539, y: 0.365086, zNormal: 0.187456
274: x: -1.37336, y: 0.417605, zNormal: 0.208584
275: x: -1.36382, y: 0.449728, zNormal: 0.218089
276: x: -1.41767, y: 0.234716, zNormal: 0.0957842
277: x: -1.40731, y: 0.272492, zNormal: 0.107499
278: x: -1.39301, y: 0.319879, zNormal: 0.106479
279: x: -1.38127, y: 0.367773, zNormal: 0.129626
280: x: -1.369, y: 0.420245, zNormal: 0.151784
281: x: -1.36006, y: 0.452958, zNormal: 0.171085
282: x: -1.41089, y: 0.243489, zNormal: 0.0596253
283: x: -1.40496, y: 0.275585, zNormal: 0.0591411
284: x: -1.39227, y: 0.323691, zNormal: 0.0568767
285: x: -1.38053, y: 0.371743, zNormal: 0.0568455
286: x: -1.3659, y: 0.421508, zNormal: 0.0536089
287: x: -1.35822, y: 0.454957, zNormal: 0.051405
288: x: -1.4594, y: -0.143326, zNormal: -0.587001
289: x: -1.43819, y: -0.111677, zNormal: 0.442823
290: x: -1.41367, y: -0.0939889, zNormal: 0.361243
291: x: -1.39737, y: 0.288907, zNormal: 0.0829896
292: x: -1.38785, y: 0.326194, zNormal: 0.0837413
293: x: -1.37859, y: 0.375365, zNormal: 0.0759285
294: x: -1.36249, y: 0.422459, zNormal: 0.0761358
295: x: -1.35362, y: 0.450397, zNormal: 0.0716497
296: x: -1.41639, y: -0.0828699, zNormal: 0.29647
297: x: -1.3873, y: 0.294488, zNormal: 0.108776
298: x: -1.38319, y: 0.32956, zNormal: 0.106931
299: x: -1.37578, y: 0.380115, zNormal: 0.105578
300: x: -1.35913, y: 0.424461, zNormal: 0.103762
301: x: -1.35157, y: 0.450877, zNormal: 0.0809337
302: x: -1.41491, y: -0.0784281, zNormal: 0.23065
303: x: -1.37611, y: 0.337804, zNormal: 0.117534
304: x: -1.3695, y: 0.382503, zNormal: 0.11771
305: x: -1.35682, y: 0.426292, zNormal: 0.116833
306: x: -1.38886, y: -0.0804561, zNormal: 0.184039
307: x: -1.36927, y: 0.342252, zNormal: 0.134829
308: x: -1.36272, y: 0.383298, zNormal: 0.131235
309: x: -1.35335, y: 0.427219, zNormal: 0.116501
310: x: -1.39791, y: -0.072776, zNormal: 0.159947
311: x: -1.36133, y: 0.348946, zNormal: 0.135801
312: x: -1.35614, y: 0.383152, zNormal: 0.124841
313: x: -1.34658, y: 0.43398, zNormal: 0.121722
314: x: -1.39234, y: -0.0625032, zNormal: 0.170336
315: x: -1.35645, y: 0.354927, zNormal: 0.133861
316: x: -1.34783, y: 0.402102, zNormal: 0.128151
317: x: -1.34162, y: 0.433594, zNormal: 0.123288
318: x: -1.3852, y: -0.0571952, zNormal: 0.228743
319: x: -1.37648, y: 0.0435581, zNormal: 0.198965
320: x: -1.38384, y: 0.0764151, zNormal: 0.155147
321: x: -1.34157, y: 0.406792, zNormal: 0.114936
322: x: -1.33406, y: 0.439527, zNormal: 0.108557
323: x: -1.38219, y: -0.0593425, zNormal: 0.228305
324: x: -1.37416, y: 0.0457392, zNormal: 0.234605
325: x: -1.38124, y: 0.0723166, zNormal: 0.224844
326: x: -1.32727, y: 0.444986, zNormal: 0.124819
327: x: -1.36076, y: -0.0602447, zNormal: 0.214586
328: x: -1.37478, y: 0.048175, zNormal: 0.180093
329: x: -1.32195, y: 0.443637, zNormal: 0.181805
330: x: -1.35865, y: -0.0513024, zNormal: 0.264934
331: x: -1.48706, y: 0.278132, zNormal: 0.0844182
332: x: -1.47819, y: 0.318097, zNormal: 0.0631076
333: x: -1.47947, y: 0.171054, zNormal: 0.158319
334: x: -1.476, y: 0.211301, zNormal: 0.167912
335: x: -1.46594, y: 0.272476, zNormal: 0.11727
336: x: -1.45887, y: 0.317779, zNormal: 0.0946625
337: x: -1.45057, y: 0.346652, zNormal: 0.0571093
338: x: -1.4187, y: 0.53886, zNormal: -0.325049
339: x: -1.47801, y: 0.182233, zNormal: 0.169953
340: x: -1.4719, y: 0.209182, zNormal: 0.176053
341: x: -1.47118, y: 0.181225, zNormal: 0.171115
342: x: -1.46397, y: 0.22123, zNormal: 0.175724
343: x: -1.45565, y: 0.269241, zNormal: 0.177014
344: x: -1.44628, y: 0.32518, zNormal: 0.177051
345: x: -1.45417, y: 0.371125, zNormal: 0.168782
346: x: -1.44415, y: 0.409329, zNormal: 0.154908
347: x: -1.4467, y: 0.481723, zNormal: 0.106446
348: x: -1.45006, y: 0.516359, zNormal: 0.00881161
349: x: -1.46928, y: 0.143342, zNormal: 0.148666
350: x: -1.45584, y: 0.161854, zNormal: 0.152719
351: x: -1.43597, y: 0.483257, zNormal: 0.0982497
352: x: -1.44882, y: 0.511275, zNormal: 0.0667562
353: x: -1.45983, y: 0.144674, zNormal: 0.141259
354: x: -1.44937, y: 0.165723, zNormal: 0.155895
355: x: -1.45886, y: 0.147097, zNormal: 0.117111
356: x: -1.44408, y: 0.17477, zNormal: 0.125436
357: x: -1.43503, y: 0.207668, zNormal: 0.130495
358: x: -1.44846, y: 0.147685, zNormal: 0.0722052
359: x: -1.44104, y: 0.177345, zNormal: 0.075895
360: x: -1.42901, y: 0.216225, zNormal: 0.0887754
361: x: -1.44607, y: 0.150352, zNormal: 0.0672948
362: x: -1.43865, y: 0.180124, zNormal: 0.0642303
363: x: -1.42383, y: 0.224155, zNormal: 0.0600849
364: x: -1.48452, y: -0.112118, zNormal: -0.634081
365: x: -1.47503, y: -0.0777361, zNormal: 0.465473
366: x: -1.44004, y: 0.149305, zNormal: 0.0832725
367: x: -1.43323, y: 0.182166, zNormal: 0.0859541
368: x: -1.42062, y: 0.23148, zNormal: 0.0853785
369: x: -1.40877, y: 0.269583, zNormal: 0.0921646
370: x: -1.46329, y: -0.0704425, zNormal: 0.352573
371: x: -1.43828, y: 0.150441, zNormal: 0.136613
372: x: -1.42848, y: 0.184379, zNormal: 0.129169
373: x: -1.41634, y: 0.233902, zNormal: 0.119457
374: x: -1.40273, y: 0.279337, zNormal: 0.109359
375: x: -1.39517, y: 0.310988, zNormal: 0.0986579
376: x: -1.3855, y: 0.371594, zNormal: 0.106406
377: x: -1.44155, y: -0.0587501, zNormal: 0.248938
378: x: -1.434, y: 0.152514, zNormal: 0.102975
379: x: -1.4242, y: 0.186706, zNormal: 0.12013
380: x: -1.41, y: 0.235754, zNormal: 0.154021
381: x: -1.39815, y: 0.285003, zNormal: 0.130052
382: x: -1.38615, y: 0.320307, zNormal: 0.12144
383: x: -1.37709, y: 0.380041, zNormal: 0.117191
384: x: -1.44863, y: -0.0624854, zNormal: 0.251321
385: x: -1.43408, y: 0.153286, zNormal: 0.128122
386: x: -1.41905, y: 0.188497, zNormal: 0.126961
387: x: -1.4038, y: 0.237573, zNormal: 0.139405
388: x: -1.39071, y: 0.286491, zNormal: 0.145382
389: x: -1.37883, y: 0.32843, zNormal: 0.134786
390: x: -1.37008, y: 0.384176, zNormal: 0.126891
391: x: -1.44415, y: -0.0590126, zNormal: 0.174621
392: x: -1.42836, y: 0.15742, zNormal: 0.187489
393: x: -1.41566, y: 0.190729, zNormal: 0.143946
394: x: -1.40033, y: 0.239851, zNormal: 0.140152
395: x: -1.38741, y: 0.288979, zNormal: 0.134247
396: x: -1.37406, y: 0.333888, zNormal: 0.138241
397: x: -1.36277, y: 0.387326, zNormal: 0.124853
398: x: -1.35761, y: 0.417011, zNormal: 0.125478
399: x: -1.43715, y: -0.0447206, zNormal: 0.2538
400: x: -1.42297, y: 0.0132566, zNormal: 0.454611
401: x: -1.44109, y: 0.0362637, zNormal: 0.771669
402: x: -1.42333, y: 0.161497, zNormal: 0.191413
403: x: -1.41406, y: 0.193824, zNormal: 0.17058
404: x: -1.39601, y: 0.242032, zNormal: 0.135944
405: x: -1.38453, y: 0.291611, zNormal: 0.127263
406: x: -1.36926, y: 0.337176, zNormal: 0.127499
407: x: -1.35618, y: 0.386951, zNormal: 0.122089
408: x: -1.34852, y: 0.423998, zNormal: 0.123978
409: x: -1.44542, y: -0.0440737, zNormal: 0.264818
410: x: -1.41303, y: -0.00105324, zNormal: 0.366251
411: x: -1.4111, y: 0.0349822, zNormal: 0.522639
412: x: -1.40769, y: 0.0961013, zNormal: 0.260432
413: x: -1.41759, y: 0.144217, zNormal: 0.17697
414: x: -1.41129, y: 0.19626, zNormal: 0.144508
415: x: -1.39343, y: 0.245002, zNormal: 0.121056
416: x: -1.37996, y: 0.294087, zNormal: 0.115239
417: x: -1.36664, y: 0.34273, zNormal: 0.102453
418: x: -1.35287, y: 0.389106, zNormal: 0.112958
419: x: -1.34336, y: 0.423121, zNormal: 0.108885
420: x: -1.43053, y: -0.0350254, zNormal: 0.384024
421: x: -1.41486, y: -0.000385538, zNormal: 0.551553
422: x: -1.40244, y: 0.0317346, zNormal: 0.472708
423: x: -1.39371, y: 0.0985121, zNormal: 0.231608
424: x: -1.41024, y: 0.146193, zNormal: 0.17713
425: x: -1.40822, y: 0.198656, zNormal: 0.119968
426: x: -1.39316, y: 0.249966, zNormal: 0.113132
427: x: -1.37434, y: 0.296217, zNormal: 0.119492
428: x: -1.36093, y: 0.344877, zNormal: 0.129154
