180: x: -1.20936, y: -0.11054, xCell: 1, yCell: 4
181: x: -1.18709, y: -0.120899, xCell: 1, yCell: 4
182: x: -1.21017, y: -0.109006, xCell: 1, yCell: 4
183: x: -1.19131, y: -0.119087, xCell: 1, yCell: 4
184: x: -1.3412, y: -0.540647, xCell: 1, yCell: 3
185: x: -1.33675, y: -0.547786, xCell: 1, yCell: 3
186: x: -1.27404, y: -0.154913, xCell: 1, yCell: 4
187: x: -1.28524, y: -0.186151, xCell: 1, yCell: 4
188: x: -1.28029, y: -0.15929, xCell: 1, yCell: 4
189: x: -1.28494, y: -0.137066, xCell: 1, yCell: 4
190: x: -1.27647, y: -0.126551, xCell: 1, yCell: 4
191: x: -1.2675, y: -0.122043, xCell: 1, yCell: 4
192: x: -1.2819, y: -0.104674, xCell: 1, yCell: 4
193: x: -1.24187, y: -0.124353, xCell: 1, yCell: 4
194: x: -1.24999, y: -0.113284, xCell: 1, yCell: 4
195: x: -1.2547, y: -0.117924, xCell: 1, yCell: 4
196: x: -1.24704, y: -0.106567, xCell: 1, yCell: 4
197: x: -1.24232, y: -0.104474, xCell: 1, yCell: 4
198: x: -1.23897, y: -0.106998, xCell: 1, yCell: 4
199: x: -1.25182, y: -0.0979124, xCell: 1, yCell: 4
200: x: -1.23119, y: -0.106503, xCell: 1, yCell: 4
201: x: -1.23404, y: -0.101519, xCell: 1, yCell: 4
202: x: -1.32314, y: -0.168596, xCell: 1, yCell: 4
203: x: -1.325, y: -0.144099, xCell: 1, yCell: 4
204: x: -1.33153, y: -0.116598, xCell: 1, yCell: 4
205: x: -1.33863, y: -0.105445, xCell: 1, yCell: 4
206: x: -1.29975, y: -0.114853, xCell: 1, yCell: 4
207: x: -1.30044, y: -0.105389, xCell: 1, yCell: 4
208: x: -1.29283, y: -0.104513, xCell: 1, yCell: 4
209: x: -1.31608, y: -0.106259, xCell: 1, yCell: 4
210: x: -1.32354, y: -0.100558, xCell: 1, yCell: 4
211: x: -1.31215, y: -0.106084, xCell: 1, yCell: 4
212: x: -1.30251, y: -0.0903498, xCell: 1, yCell: 4
213: x: -1.28917, y: -0.0904225, xCell: 1, yCell: 4
214: x: -1.27184, y: -0.0912009, xCell: 1, yCell: 4
215: x: -1.28397, y: -0.0884759, xCell: 1, yCell: 4
216: x: -1.27719, y: -0.0849006, xCell: 1, yCell: 4
217: x: -1.38515, y: 0.414907, xCell: 1, yCell: 4
218: x: -1.37884, y: 0.458514, xCell: 1, yCell: 4
219: x: -1.36447, y: 0.508341, xCell: 1, yCell: 4
220: x: -1.35368, y: 0.554202, xCell: 1, yCell: 4
221: x: -1.33976, y: 0.602064, xCell: 1, yCell: 4
222: x: -1.32669, y: 0.651619, xCell: 1, yCell: 4
223: x: -1.31628, y: 0.700484, xCell: 1, yCell: 4
224: x: -1.30289, y: 0.743268, xCell: 1, yCell: 5
225: x: -1.38832, y: -0.158064, xCell: 1, yCell: 4
226: x: -1.38637, y: -0.12917, xCell: 1, yCell: 4
227: x: -1.38039, y: -0.104886, xCell: 1, yCell: 4
228: x: -1.38486, y: -0.0944893, xCell: 1, yCell: 4
229: x: -1.38758, y: -0.0920652, xCell: 1, yCell: 4
230: x: -1.35013, y: -0.100934, xCell: 1, yCell: 4
231: x: -1.37087, y: -0.0878666, xCell: 1, yCell: 4
232: x: -1.3451, y: -0.100437, xCell: 1, yCell: 4
233: x: -1.35868, y: -0.0861852, xCell: 1, yCell: 4
234: x: -1.3421, y: -0.0989201, xCell: 1, yCell: 4
235: x: -1.34961, y: -0.0767057, xCell: 1, yCell: 4
236: x: -1.34563, y: -0.0721603, xCell: 1, yCell: 4
237: x: -1.33087, y: -0.0774924, xCell: 1, yCell: 4
238: x: -1.32254, y: -0.0751757, xCell: 1, yCell: 4
239: x: -1.32211, y: -0.066453, xCell: 1, yCell: 4
240: x: -1.46549, y: 0.176305, xCell: 1, yCell: 4
241: x: -1.4578, y: 0.215551, xCell: 1, yCell: 4
242: x: -1.4478, y: 0.260902, xCell: 1, yCell: 4
243: x: -1.4346, y: 0.310552, xCell: 1, yCell: 4
244: x: -1.4184, y: 0.358587, xCell: 1, yCell: 4
245: x: -1.40902, y: 0.41218, xCell: 1, yCell: 4
246: x: -1.39362, y: 0.457408, xCell: 1, yCell: 4
247: x: -1.37895, y: 0.512507, xCell: 1, yCell: 4
248: x: -1.41056, y: 0.545492, xCell: 1, yCell: 4
249: x: -1.40901, y: 0.416098, xCell: 1, yCell: 4
250: x: -1.39994, y: 0.447607, xCell: 1, yCell: 4
251: x: -1.441, y: 0.233546, xCell: 1, yCell: 4
252: x: -1.43373, y: 0.262709, xCell: 1, yCell: 4
253: x: -1.43157, y: 0.298652, xCell: 1, yCell: 4
254: x: -1.40218, y: 0.419282, xCell: 1, yCell: 4
255: x: -1.39606, y: 0.440471, xCell: 1, yCell: 4
256: x: -1.44396, y: 0.183501, xCell: 1, yCell: 4
257: x: -1.4364, y: 0.217147, xCell: 1, yCell: 4
258: x: -1.42082, y: 0.265776, xCell: 1, yCell: 4
259: x: -1.40266, y: 0.314496, xCell: 1, yCell: 4
260: x: -1.39527, y: 0.364706, xCell: 1, yCell: 4
261: x: -1.38142, y: 0.41375, xCell: 1, yCell: 4
262: x: -1.37468, y: 0.443446, xCell: 1, yCell: 4
263: x: -1.43807, y: 0.187458, xCell: 1, yCell: 4
264: x: -1.43025, y: 0.221374, xCell: 1, yCell: 4
265: x: -1.41625, y: 0.267753, xCell: 1, yCell: 4
266: x: -1.39874, y: 0.314994, xCell: 1, yCell: 4
267: x: -1.38939, y: 0.365617, xCell: 1, yCell: 4
268: x: -1.37392, y: 0.415175, xCell: 1, yCell: 4
269: x: -1.36326, y: 0.445023, xCell: 1, yCell: 4
270: x: -1.42508, y: 0.227367, xCell: 1, yCell: 4
271: x: -1.41145, y: 0.270014, xCell: 1, yCell: 4
272: x: -1.39369, y: 0.316096, xCell: 1, yCell: 4
273: x: -1.38539, y: 0.365086, xCell: 1, yCell: 4
274: x: -1.37336, y: 0.417605, xCell: 1, yCell: 4
275: x: -1.36382, y: 0.449728, xCell: 1, yCell: 4
276: x: -1.41767, y: 0.234716, xCell: 1, yCell: 4
277: x: -1.40731, y: 0.272492, xCell: 1, yCell: 4
278: x: -1.39301, y: 0.319879, xCell: 1, yCell: 4
279: x: -1.38127, y: 0.367773, xCell: 1, yCell: 4
280: x: -1.369, y: 0.420245, xCell: 1, yCell: 4
281: x: -1.36006, y: 0.452958, xCell: 1, yCell: 4
282: x: -1.41089, y: 0.243489, xCell: 1, yCell: 4
283: x: -1.40496, y: 0.275585, xCell: 1, yCell: 4
284: x: -1.39227, y: 0.323691, xCell: 1, yCell: 4
285: x: -1.38053, y: 0.371743, xCell: 1, yCell: 4
286: x: -1.3659, y: 0.421508, xCell: 1, yCell: 4
287: x: -1.35822, y: 0.454957, xCell: 1, yCell: 4
288: x: -1.4594, y: -0.143326, xCell: 1, yCell: 4
289: x: -1.43819, y: -0.111677, xCell: 1, yCell: 4
290: x: -1.41367, y: -0.0939889, xCell: 1, yCell: 4
291: x: -1.39737, y: 0.288907, xCell: 1, yCell: 4
292: x: -1.38785, y: 0.326194, xCell: 1, yCell: 4
293: x: -1.37859, y: 0.375365, xCell: 1, yCell: 4
294: x: -1.36249, y: 0.422459, xCell: 1, yCell: 4
295: x: -1.35362, y: 0.450397, xCell: 1, yCell: 4
296: x: -1.41639, y: -0.0828699, xCell: 1, yCell: 4
297: x: -1.3873, y: 0.294488, xCell: 1, yCell: 4
298: x: -1.38319, y: 0.32956, xCell: 1, yCell: 4
299: x: -1.37578, y: 0.380115, xCell: 1, yCell: 4
300: x: -1.35913, y: 0.424461, xCell: 1, yCell: 4
301: x: -1.35157, y: 0.450877, xCell: 1, yCell: 4
302: x: -1.41491, y: -0.0784281, xCell: 1, yCell: 4
303: x: -1.37611, y: 0.337804, xCell: 1, yCell: 4
304: x: -1.3695, y: 0.382503, xCell: 1, yCell: 4
305: x: -1.35682, y: 0.426292, xCell: 1, yCell: 4
306: x: -1.38886, y: -0.0804561, xCell: 1, yCell: 4
307: x: -1.36927, y: 0.342252, xCell: 1, yCell: 4
308: x: -1.36272, y: 0.383298, xCell: 1, yCell: 4
309: x: -1.35335, y: 0.427219, xCell: 1, yCell: 4
310: x: -1.39791, y: -0.072776, xCell: 1, yCell: 4
311: x: -1.36133, y: 0.348946, xCell: 1, yCell: 4
312: x: -1.35614, y: 0.383152, xCell: 1, yCell: 4
313: x: -1.34658, y: 0.43398, xCell: 1, yCell: 4
314: x: -1.39234, y: -0.0625032, xCell: 1, yCell: 4
315: x: -1.35645, y: 0.354927, xCell: 1, yCell: 4
316: x: -1.34783, y: 0.402102, xCell: 1, yCell: 4
317: x: -1.34162, y: 0.433594, xCell: 1, yCell: 4
318: x: -1.3852, y: -0.0571952, xCell: 1, yCell: 4
319: x: -1.37648, y: 0.0435581, xCell: 1, yCell: 4
320: x: -1.38384, y: 0.0764151, xCell: 1, yCell: 4
321: x: -1.34157, y: 0.406792, xCell: 1, yCell: 4
322: x: -1.33406, y: 0.439527, xCell: 1, yCell: 4
323: x: -1.38219, y: -0.0593425, xCell: 1, yCell: 4
324: x: -1.37416, y: 0.0457392, xCell: 1, yCell: 4
325: x: -1.38124, y: 0.0723166, xCell: 1, yCell: 4
326: x: -1.32727, y: 0.444986, xCell: 1, yCell: 4
327: x: -1.36076, y: -0.0602447, xCell: 1, yCell: 4
328: x: -1.37478, y: 0.048175, xCell: 1, yCell: 4
329: x: -1.32195, y: 0.443637, xCell: 1, yCell: 4
330: x: -1.35865, y: -0.0513024, xCell: 1, yCell: 4
331: x: -1.48706, y: 0.278132, xCell: 1, yCell: 4
332: x: -1.47819, y: 0.318097, xCell: 1, yCell: 4
333: x: -1.47947, y: 0.171054, xCell: 1, yCell: 4
334: x: -1.476, y: 0.211301, xCell: 1, yCell: 4
335: x: -1.46594, y: 0.272476, xCell: 1, yCell: 4
336: x: -1.45887, y: 0.317779, xCell: 1, yCell: 4
337: x: -1.45057, y: 0.346652, xCell: 1, yCell: 4
338: x: -1.4187, y: 0.53886, xCell: 1, yCell: 4
339: x: -1.47801, y: 0.182233, xCell: 1, yCell: 4
340: x: -1.4719, y: 0.209182, xCell: 1, yCell: 4
341: x: -1.47118, y: 0.181225, xCell: 1, yCell: 4
342: x: -1.46397, y: 0.22123, xCell: 1, yCell: 4
343: x: -1.45565, y: 0.269241, xCell: 1, yCell: 4
344: x: -1.44628, y: 0.32518, xCell: 1, yCell: 4
345: x: -1.45417, y: 0.371125, xCell: 1, yCell: 4
346: x: -1.44415, y: 0.409329, xCell: 1, yCell: 4
347: x: -1.4467, y: 0.481723, xCell: 1, yCell: 4
348: x: -1.45006, y: 0.516359, xCell: 1, yCell: 4
349: x: -1.46928, y: 0.143342, xCell: 1, yCell: 4
350: x: -1.45584, y: 0.161854, xCell: 1, yCell: 4
351: x: -1.43597, y: 0.483257, xCell: 1, yCell: 4
352: x: -1.44882, y: 0.511275, xCell: 1, yCell: 4
353: x: -1.45983, y: 0.144674, xCell: 1, yCell: 4
354: x: -1.44937, y: 0.165723, xCell: 1, yCell: 4
355: x: -1.45886, y: 0.147097, xCell: 1, yCell: 4
356: x: -1.44408, y: 0.17477, xCell: 1, yCell: 4
357: x: -1.43503, y: 0.207668, xCell: 1, yCell: 4
